TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,BONDTYPE,BONDSUBTYPE
2024-01-29,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.2,98.2,97.75,97.951,97.913,979.5099999999999,1015.9699999999999,-2.0490000000000066,-0.002342612114360265,0.0,,0.0,49780,48741181.33,363,36.46,1000,14.97,37.33,2035-04-18,11.21697467488022,,,
2024-01-30,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.192,98.199,97.849,98.126,97.857,981.26,1018.15,-1.8739999999999952,0.0017866075895092148,0.0,,0.0,114877,112582690.57,459,36.89,1000,14.97,37.33,2035-04-18,11.214236824093087,,,
2024-01-31,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.126,98.431,97.712,97.951,98.082,979.5099999999999,979.5099999999999,-2.0490000000000066,-0.0017834213154517276,0.0,,0.0,54741,53690872.34,659,0.0,1000,14.97,37.33,2035-04-18,11.211498973305956,,,
2024-02-01,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.0,98.15,97.85,97.931,97.879,979.3100000000001,979.7500000000001,-2.0690000000000026,-0.00020418372451525002,0.0,,0.0,69720,68241525.29,723,0.44,1000,0.0,0.0,2035-04-18,11.208761122518823,,,
2024-02-02,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.099,98.149,97.75,98.084,97.881,980.84,981.71,-1.9159999999999968,0.001562324493776357,0.0,,0.0,43255,42338425.28,439,0.87,1000,0.0,0.0,2035-04-18,11.206023271731691,,,
2024-02-05,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.068,98.069,97.63,97.85,97.653,978.4999999999999,980.6599999999999,-2.1500000000000057,-0.002385710207577274,0.0,,0.0,82816,80872225.43,522,2.16,1000,0.0,0.0,2035-04-18,11.197809719370294,,,
2024-02-06,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.869,97.948,97.511,97.947,97.806,979.47,982.07,-2.0529999999999973,0.0009913132345427123,0.0,,0.0,81469,79683637.85,383,2.6,1000,0.0,0.0,2035-04-18,11.195071868583161,,,
2024-02-07,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.0,98.009,97.775,97.83,97.864,978.3,981.3399999999999,-2.1700000000000017,-0.0011945235688689548,0.0,,0.0,28638,28023120.8,283,3.04,1000,0.0,0.0,2035-04-18,11.19233401779603,,,
2024-02-08,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.149,98.149,97.55,97.792,97.773,977.92,981.39,-2.2079999999999984,-0.0003884289072880742,0.0,,0.0,64250,62770648.45,375,3.47,1000,0.0,0.0,2035-04-18,11.189596167008897,,,
2024-02-09,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.994,97.994,97.603,97.789,97.689,977.89,981.8,-2.2109999999999985,-3.0677356020913926e-05,0.0,,0.0,13106,12814174.54,277,3.91,1000,0.0,0.0,2035-04-18,11.186858316221766,,,
